Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,SELBAL,0.7914,NA,21,1,181.656,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,CLR-LASSO,0.7156,NA,40,40,0.4730000000000132,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,Coda-LASSO,0.762,NA,35,1,277.88599999999997,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_glmnet4,0.7448,0.692,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_pls2,0.5796,0.544,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_ranger1,0.5944,0.5196,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_rangerE5,0.5306,0.5268,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_svmRadial3,0.5384,0.5144,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_DCV-ridgeRegression,0.5512,0.5488,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_DCV-ridgeEnsemble,0.6008,0.5896,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR/PLR_ALR/PLR_DCV,0.6008,0.5896,139,3529,216.1790000000001,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_glmnet4,0.7236,0.632,87,86,57.11100000000033,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_pls2,0.5328,0.4952,87,86,57.11100000000033,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_ranger1,0.5528,0.5944,87,86,57.11100000000033,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_rangerE5,0.555,0.5592,87,86,57.11100000000033,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_svmRadial3,0.5992,0.5384,87,86,57.11100000000033,185,FALSE,5,0.98
Empirical,WGS_meanShift5_permuteFALSE_seed3_sparsity2,3,1,ALR_DCV-ridgeRegression,0.5028,0.5512,87,86,57.11100000000033,185,FALSE,5,0.98
