Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_aloneRFE,0.6883116883116883,NA,7,6,NA,39
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_dataGLM,0.6253746253746254,NA,17,16,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfeglmnet4,0.7495004995004995,0.8030325839689549,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfepls2,0.8199300699300699,0.79373487610955,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rferanger1,0.6825674325674326,0.898909337503903,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rferangerE5,0.6514735264735265,0.9187076949239484,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfesvmRadial3,0.6815684315684316,0.8213307490298408,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfeDCV-ridgeRegression,0.7497502497502497,0.8089521583255275,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfeDCV-ridgeEnsemble,0.7367632367632367,0.8856637366742495,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,meta_rfeDCV,0.6514735264735265,0.9187076949239484,29,184,NA,16
Empirical,NEC_seed5_permuteFALSE_fold2,5,2,mbiome + meta_data_rfRFE,0.7241508491508492,NA,29,60,NA,60
