	SRR5405612	SRR5405613	SRR5405614	SRR5405615	SRR5405616	SRR5405617	SRR5405618	SRR5405619	SRR5405620	SRR5405621	SRR5405622	SRR5405623	SRR5405624	SRR5405625	SRR5405626	SRR5405627	SRR5405628	SRR5405629	SRR5405630	SRR5405631	SRR5405632	SRR5405633	SRR5405634	SRR5405635	SRR5405636	SRR5405637	SRR5405638	SRR5405639	SRR5405640	SRR5405641	SRR5405642	SRR5405643	SRR5405644	SRR5405645	SRR5405646	SRR5405647	SRR5405648	SRR5405649	SRR5405650	SRR5405651	SRR5405652	SRR5405653	SRR5405654	SRR5405655	SRR5405656	SRR5405657	SRR5405658	SRR5405659	SRR5405660	SRR5405661	SRR5405662	SRR5405663	SRR5405664	SRR5405665	SRR5405666	SRR5405667	SRR5405668	SRR5405669	SRR5405670	SRR5405671	SRR5405672	SRR5405673	SRR5405674	SRR5405675	SRR5405676	SRR5405677	SRR5405678	SRR5405679	SRR5405680	SRR5405681	SRR5405682	SRR5405683	SRR5405684	SRR5405685	SRR5405686	SRR5405687	SRR5405688	SRR5405689	SRR5405690	SRR5405691	SRR5405692	SRR5405693	SRR5405694	SRR5405695	SRR5405696	SRR5405697	SRR5405698	SRR5405699	SRR5405700	SRR5405701	SRR5405702	SRR5405703	SRR5405704	SRR5405705	SRR5405706	SRR5405707	SRR5405708	SRR5405709	SRR5405710	SRR5405711	SRR5405712	SRR5405713	SRR5405714	SRR5405715	SRR5405716	SRR5405717	SRR5405718	SRR5405719	SRR5405720	SRR5405721	SRR5405722	SRR5405723	SRR5405724	SRR5405725	SRR5405726	SRR5405727	SRR5405728	SRR5405729	SRR5405730	SRR5405731	SRR5405732	SRR5405733	SRR5405734	SRR5405735	SRR5405736	SRR5405737	SRR5405738	SRR5405739	SRR5405740	SRR5405741	SRR5405742	SRR5405743	SRR5405744	SRR5405745	SRR5405746	SRR5405747	SRR5405748	SRR5405749	SRR5405750	SRR5405751	SRR5405752	SRR5405753	SRR5405754	SRR5405755	SRR5405756	SRR5405757	SRR5405758	SRR5405759	SRR5405760	SRR5405761	SRR5405762	SRR5405763	SRR5405764	SRR5405765	SRR5405766	SRR5405767	SRR5405768	SRR5405769	SRR5405770	SRR5405771	SRR5405772	SRR5405773	SRR5405774	SRR5405775	SRR5405776	SRR5405777	SRR5405778	SRR5405779	SRR5405780	SRR5405781	SRR5405782	SRR5405783	SRR5405784	SRR5405785	SRR5405786	SRR5405787	SRR5405788	SRR5405789	SRR5405790	SRR5405791	SRR5405792	SRR5405793	SRR5405794	SRR5405795	SRR5405796	SRR5405797	SRR5405798	SRR5405799	SRR5405800	SRR5405801	SRR5405802	SRR5405803	SRR5405804	SRR5405805	SRR5405806	SRR5405807	SRR5405808	SRR5405809	SRR5405810	SRR5405811	SRR5405812	SRR5405813	SRR5405814	SRR5405815	SRR5405816	SRR5405817	SRR5405818	SRR5405819	SRR5405820	SRR5405821	SRR5405822	SRR5405823	SRR5405824	SRR5405825	SRR5405826	SRR5405827	SRR5405828	SRR5405829	SRR5405830	SRR5405831	SRR5405832	SRR5405833	SRR5405834	SRR5405835	SRR5405836	SRR5405837	SRR5405838	SRR5405839	SRR5405840	SRR5405841	SRR5405842	SRR5405843	SRR5405844	SRR5405845	SRR5405846	SRR5405847	SRR5405848	SRR5405849	SRR5405850	SRR5405851	SRR5405852	SRR5405853	SRR5405854	SRR5405855	SRR5405856	SRR5405857	SRR5405858	SRR5405859	SRR5405860	SRR5405861	SRR5405862	SRR5405863	SRR5405864	SRR5405865	SRR5405866	SRR5405867	SRR5405868	SRR5405869	SRR5405870	SRR5405871	SRR5405872	SRR5405873	SRR5405874	SRR5405875	SRR5405876	SRR5405877	SRR5405878	SRR5405879	SRR5405880	SRR5405881	SRR5405882	SRR5405883	SRR5405884	SRR5405885	SRR5405886	SRR5405887	SRR5405888	SRR5405889	SRR5405890	SRR5405891	SRR5405892	SRR5405893	SRR5405894	SRR5405895	SRR5405896	SRR5405897	SRR5405898	SRR5405899	SRR5405900	SRR5405901	SRR5405902	SRR5405903	SRR5405904	SRR5405905	SRR5405906	SRR5405907	SRR5405908	SRR5405909	SRR5405910	SRR5405911	SRR5405912	SRR5405913	SRR5405914	SRR5405915	SRR5405916	SRR5405917	SRR5405918	SRR5405919	SRR5405920	SRR5405921	SRR5405922	SRR5405923	SRR5405924	SRR5405925	SRR5405926	SRR5405927	SRR5405928	SRR5405929	SRR5405930	SRR5405931	SRR5405932	SRR5405933	SRR5405934	SRR5405935	SRR5405936	SRR5405937	SRR5405938	SRR5405939	SRR5405940	SRR5405941	SRR5405942	SRR5405943	SRR5405944	SRR5405945	SRR5405946	SRR5405947	SRR5405948	SRR5405949	SRR5405950	SRR5405951	SRR5405952	SRR5405953	SRR5405954	SRR5405955	SRR5405956	SRR5405957	SRR5405958	SRR5405959	SRR5405960	SRR5405961	SRR5405962	SRR5405963	SRR5405964	SRR5405965	SRR5405966	SRR5405967	SRR5405968	SRR5405969	SRR5405970	SRR5405971	SRR5405972	SRR5405973	SRR5405974	SRR5405975	SRR5405976	SRR5405977	SRR5405978	SRR5405979	SRR5405980	SRR5405981	SRR5405982	SRR5405983	SRR5405984	SRR5405985	SRR5405986	SRR5405987	SRR5405988	SRR5405989	SRR5405990	SRR5405991	SRR5405992	SRR5405993	SRR5405994	SRR5405995	SRR5405996	SRR5405997	SRR5405998	SRR5405999	SRR5406000	SRR5406001	SRR5406002	SRR5406003	SRR5406004	SRR5406005	SRR5406006	SRR5406007	SRR5406008	SRR5406009	SRR5406010	SRR5406011	SRR5406012	SRR5406013	SRR5406014	SRR5962306	SRR5963000	SRR5963132	SRR5963133	SRR5963134	SRR5963135	SRR5963136	SRR5963137	SRR5963138	SRR5963139	SRR5963140	SRR5963141	SRR5963142	SRR5963143	SRR5963144	SRR5963145	SRR5963146	SRR5963147	SRR5963148	SRR5963149	SRR5963150	SRR5963151	SRR5963152	SRR5963153	SRR5963154	SRR5963155	SRR5963156	SRR5963157	SRR5963158	SRR5963159	SRR5963160	SRR5963161	SRR5963162	SRR5963163	SRR5963164	SRR5963165	SRR5963166	SRR5963167	SRR5963168	SRR5963169	SRR5963170	SRR5963171	SRR5963172	SRR5963173	SRR5963174	SRR5963175	SRR5963176	SRR5963177	SRR5963178	SRR5963179	SRR5963180	SRR5963181	SRR5963182	SRR5963183	SRR5963184	SRR5963185	SRR5963186	SRR5963187	SRR5963188	SRR5963189	SRR5963190	SRR5963191	SRR5963192	SRR5963193	SRR5963194	SRR5963195	SRR5963196	SRR5963197	SRR5963198	SRR5963199	SRR5963200	SRR5963201	SRR5963202	SRR5963203	SRR5963204	SRR5963205	SRR5963206	SRR5963207	SRR5963208	SRR5963209	SRR5963210	SRR5963211	SRR5963212	SRR5963213	SRR5963214	SRR5963215	SRR5963216	SRR5963217	SRR5963218	SRR5963219	SRR5963220	SRR5963221	SRR5963222	SRR5963223	SRR5963224	SRR5963225	SRR5963226	SRR5963227	SRR5963228	SRR5963229	SRR5963230	SRR5963231	SRR5963232	SRR5963233	SRR5963234	SRR5963235	SRR5963236	SRR5963237	SRR5963238	SRR5963239	SRR5963240	SRR5963241	SRR5963242	SRR5963243	SRR5963244	SRR5963245	SRR5963246	SRR5963247	SRR5963248	SRR5963249	SRR5963250	SRR5963251	SRR5963252	SRR5963253	SRR5963254	SRR5963255	SRR5963256	SRR5963257	SRR5963258	SRR5963259	SRR5963260	SRR5963261	SRR5963262	SRR5963263	SRR5963264	SRR5963265	SRR5963266	SRR5963267	SRR5963268	SRR5963269	SRR5963270	SRR5963271	SRR5963272	SRR5963273	SRR5963274	SRR5963275	SRR5963276	SRR5963277	SRR5963278	SRR5963279	SRR5963280	SRR5963281	SRR5963282	SRR5963283	SRR5963284	SRR5963285	SRR5963286	SRR5963287	SRR5963288	SRR5963289	SRR5963290	SRR5963291	SRR5963292	SRR5963293	SRR5963294	SRR5963295	SRR5963296	SRR5963297	SRR5963298	SRR5963299	SRR5963300	SRR5963301	SRR5963302	SRR5963303	SRR5963304	SRR5963305	SRR5963306	SRR5963307	SRR5963308	SRR5963309	SRR5963310	SRR5963311	SRR5963312	SRR5963313	SRR5963314	SRR5963315	SRR5963316	SRR5963317	SRR5963318	SRR5963319	SRR5963320	SRR5963321	SRR5963322	SRR5963323	SRR5963324	SRR5963325	SRR5963326	SRR5963327	SRR5963328	SRR5963329	SRR5963330	SRR5963331	SRR5963332	SRR5963333	SRR5963334	SRR5963335	SRR5963336	SRR5963337	SRR5963338	SRR5963339	SRR5963340	SRR5963341	SRR5963342	SRR5963343	SRR5963344	SRR5963345	SRR5963346	SRR5963347	SRR5963348	SRR5963349	SRR5963350	SRR5963351	SRR5963352	SRR5963353	SRR5963354	SRR5963355	SRR5963356	SRR5963357	SRR5963358	SRR5963359	SRR5963360	SRR5963361	SRR5963362	SRR5963363	SRR5963364	SRR5963365	SRR5963366	SRR5963367	SRR5963368	SRR5963369	SRR5963370	SRR5963371	SRR5963372	SRR5963373	SRR5963374	SRR5963375	SRR5963376	SRR5963377	SRR5963378	SRR5963379	SRR5963380	SRR5963381	SRR5963382	SRR5963383	SRR5963384	SRR5963385	SRR5963386	SRR5963387	SRR5963388	SRR5963389	SRR5963390	SRR5963391	SRR5963392	SRR5963393	SRR5963394	SRR5963395	SRR5963396	SRR5963397	SRR5963398	SRR5963399	SRR5963400	SRR5963401	SRR5963402	SRR5963403	SRR5963404	SRR5963405	SRR5963406	SRR5963407	SRR5963408	SRR5963409	SRR5963410	SRR5963411	SRR5963412	SRR5963413	SRR5963414	SRR5963415	SRR5963416	SRR5963417	SRR5963418	SRR5963419	SRR5963420	SRR5963421	SRR5963422	SRR5963423	SRR5963424	SRR5963425	SRR5963426	SRR5963427	SRR5963428	SRR5963429	SRR5963430	SRR5963431	SRR5963432	SRR5963433	SRR5963434	SRR6257372	SRR6257373	SRR6257374	SRR6257375	SRR6257376	SRR6257377	SRR6257378	SRR6257379	SRR6257380	SRR6257381	SRR6257382	SRR6257383	SRR6257384	SRR6257385	SRR6257386	SRR6257387	SRR6257388	SRR6257389	SRR6257390	SRR6257391	SRR6257392	SRR6257393	SRR6257394	SRR6257395	SRR6257396	SRR6257397	SRR6257398	SRR6257399	SRR6257400	SRR6257401	SRR6257402	SRR6257403	SRR6257404	SRR6257405	SRR6257406	SRR6257407	SRR6257408	SRR6257409	SRR6257410	SRR6257411	SRR6257412	SRR6257413	SRR6257414	SRR6257415	SRR6257416	SRR6257417	SRR6257418	SRR6257419	SRR6257420	SRR6257421	SRR6257422	SRR6257423	SRR6257424	SRR6257425	SRR6257426	SRR6257427	SRR6257428	SRR6257429	SRR6257430	SRR6257431	SRR6257432	SRR6257433	SRR6257434	SRR6257435	SRR6257436	SRR6257437	SRR6257438	SRR6257439	SRR6257440	SRR6257441	SRR6257442	SRR6257443	SRR6257444	SRR6257445	SRR6257446	SRR6257447	SRR6257448	SRR6257449	SRR6257450	SRR6257451	SRR6257452	SRR6257453	SRR6257454	SRR6257455	SRR6257456	SRR6257457	SRR6257458	SRR6257459	SRR6257460	SRR6257461	SRR6257462	SRR6257463	SRR6257464	SRR6257465	SRR6257466	SRR6257467	SRR6257468	SRR6257469	SRR6257470	SRR6257471	SRR6257472	SRR6257473	SRR6257474	SRR6257475	SRR6257476	SRR6257477	SRR6257478	SRR6257479	SRR6257480	SRR6257481	SRR6257482	SRR6257483	SRR6257484	SRR6257485	SRR6257486	SRR6257487	SRR6257488	SRR6257489	SRR6257490	SRR6257491	SRR6257492	SRR6257493	SRR6257494	SRR6257495	SRR6257496	SRR6257497	SRR6257498	SRR6257499	SRR6257500	SRR6257501	SRR6257502	SRR6257503	SRR6257504	SRR6257505	SRR6257506	SRR6257507	SRR6257508	SRR6257509	SRR6257510	SRR6257511	SRR6257512	SRR6257513	SRR6257514	SRR6257515	SRR6257516	SRR6257517	SRR6257518	SRR6262257	SRR6262258	SRR6262259	SRR6262260	SRR6262261	SRR6262262	SRR6262263	SRR6262264	SRR6262265	SRR6262266	SRR6262267	SRR6262268	SRR6262269	SRR6262270	SRR6262271	SRR6262272	SRR6262273	SRR6262274	SRR6262275	SRR6262276	SRR6262277	SRR6262278	SRR6262279	SRR6262280	SRR6262281	SRR6262282	SRR6262283	SRR6262284	SRR6262285	SRR6262286	SRR6262287	SRR6262288	SRR6262289	SRR6262290	SRR6262291	SRR6262292	SRR6262293	SRR6262294	SRR6262295	SRR6262296	SRR6262297	SRR6262298	SRR6262299	SRR6262300	SRR6262301	SRR6262302	SRR6262303	SRR6262304	SRR6262305	SRR6262306	SRR6262307	SRR6262308	SRR6262309	SRR6262310	SRR6262311	SRR6262312	SRR6262313	SRR6262314	SRR6262315	SRR6262316	SRR6262317	SRR6262318	SRR6262319	SRR6262320	SRR6262321	SRR6262322	SRR6262323	SRR6262324	SRR6262325	SRR6262326	SRR6262327	SRR6262328	SRR6262329	SRR6262330	SRR6262331	SRR6262332	SRR6262333	SRR6262334	SRR6262335	SRR6262336	SRR6262337	SRR6262338	SRR6262339	SRR6262340	SRR6262341	SRR6262342	SRR6262343	SRR6262344	SRR6262345	SRR6262346	SRR6262347	SRR6262348	SRR6262349	SRR6262350	SRR6262351	SRR6262352	SRR6262353	SRR6262354	SRR6262355	SRR6262356	SRR6262357	SRR6262358	SRR6262359	SRR6262360	SRR6262361	SRR6262362	SRR6262363	SRR6262364	SRR6262365	SRR6262366	SRR6262367	SRR6262368	SRR6262369	SRR6262370	SRR6262371	SRR6262372	SRR6262373	SRR6262374	SRR6262375	SRR6262376	SRR6262377	SRR6262378	SRR6262379	SRR6262380	SRR6262381	SRR6262382	SRR6262383	SRR6262384	SRR6262385	SRR6262386	SRR6262387	SRR6262388	SRR6262389	SRR6262390	SRR6262391	SRR6262392	SRR6262393	SRR6262394	SRR6262395	SRR6262396	SRR6262397	SRR6262398	SRR6262399	SRR6262400	SRR6262401	SRR6262402	SRR6262403	SRR6262404	SRR6262405	SRR6262406	SRR6262407	SRR6262408	SRR6262409	SRR6262410	SRR6262411	SRR6262412	SRR6262413	SRR6262414	SRR6262415	SRR6262416	SRR6262417	SRR6262418	SRR6262419	SRR6262420	SRR6262421	SRR6262422	SRR6262423	SRR6262424	SRR6262425	SRR6262426	SRR6262427	SRR6262428	SRR6262429	SRR6262430	SRR6262431	SRR6262432	SRR6262433	SRR6262434	SRR6262435	SRR6262436	SRR6262437	SRR6262438	SRR6262439	SRR6262440	SRR6262441	SRR6262442	SRR6262443	SRR6262444	SRR6262445	SRR6262446	SRR6262447	SRR6262448	SRR6262449	SRR6262450	SRR6262451	SRR6262452	SRR6262453	SRR6262454	SRR6262455	SRR6262456	SRR6262457	SRR6262458	SRR6262459	SRR6262460	SRR6262461	SRR6262462	SRR6262463	SRR6262464	SRR6262465	SRR6262466	SRR6262467	SRR6262468	SRR6262469	SRR6262470	SRR6262471	SRR6262472	SRR6262473	SRR6262474	SRR6262475	SRR6262476	SRR6262477	SRR6262478	SRR6262479	SRR6262480	SRR6262481	SRR6262482	SRR6262483	SRR6262484	SRR6262485	SRR6262486	SRR6262487	SRR6262488	SRR6262489	SRR6262490	SRR6262491	SRR6262492	SRR6262493	SRR6262494	SRR6262495	SRR6262496	SRR6262497	SRR6262498	SRR6262499	SRR6262500	SRR6262501	SRR6262502	SRR6262503	SRR6262504	SRR6262505	SRR6262506	SRR6262507	SRR6262508	SRR6262509	SRR6262510	SRR6262511	SRR6262512	SRR6262513	SRR6262514	SRR6262515	SRR6262516	SRR6262517	SRR6262518	SRR6262519	SRR6262520	SRR6262521	SRR6262522	SRR6262523	SRR6262524	SRR6262525
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces europaeus																																																																																																																																																																																																																																																																			0.40200	0.62868	0.50131	0.51765																																																						1.35927		0.18816	0.01597																																																																																							0.02636																			0.11354	0.39355									0.70890																																																																																																																																																																																																																									0.01136					0.08035		0.15301																																																																	0.00543																																																																															0.00763	0.00712	0.03314		1.63900			42.95109																																																																																																																																																																																															1.73767																																																																			0.03207	2.23319																																																							
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.00902																																																																																																																																																																																																																													0.00163																																																																																																																																																																																																																																																																																																																																																	0.00685																																																																																																																															
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.52423																																																																																																																																																																																																																																																																																																																													
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces neuii																																																																																																																																																																																																																																																																																																														0.00162																																																																																																																																																																																																																			1.17245	1.19747	0.16449																																																																																																																																																																0.94755																																													0.00205					0.00620	0.00193																																																	0.00023																																																																																																																																																																																																																																																																																																																																																													
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus																																																																																																																																																																																																																																																																																																																																											0.08762	0.00637	0.01387	0.00768																								0.01652	0.14722	0.16320	0.02809	0.12698		0.00855	0.01550																																								0.15359	0.01744																																	0.01014																														0.00148																																																								0.00059																																																																																																																															0.07467								0.00194						0.00015												0.00021																																																																																																																																																																																																																																																																																																																							0.03204																																																																								0.64485																								0.08456	8.42244	8.31256																										1.31727											
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.07730																																																											0.00653																																																																																																																																																																																																																																																																		
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces radingae																																																																																																																																																																			11.14524	33.92958	16.16062	10.65400	0.02010	0.54384	0.00286	0.02027	0.01390		0.00353		0.03648																																																																																				0.00886	0.00160		0.02616											0.00217	0.07814							3.20200	1.63712	0.12812	5.93291	0.00270						0.00927	0.00204								0.61879																0.00170																																																																																																															0.09157				0.00100				1.83755																																																																																																																			0.00559														0.01716				0.00262						4.20177	4.14829	1.40787																																																				0.02104																	0.00282		0.59747									0.00015		0.01524	0.39608															0.00068											0.00123				0.00495	0.00266	0.00049	1.91659														0.00394																																																																													3.11750	16.16299		0.00334													2.56390	0.81995			0.18165	0.07739	0.52596																																																																																																																																																																																																																																																																																																																															
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. HMSC035G02																																																																																																																																																																																																																																																																																																																																											0.05917	0.00083	0.01287	0.00095																										0.00035																																													0.08692	0.01525																																	0.01759																														0.00756																																																																																																																																																																																							0.04612								0.00381						0.00088																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. HPA0247																																																																																																																																																																																																																																																																																																																																										0.00315	0.19770	0.01410	0.01159																																																																									0.00842																																																																																																																																																																																																																																																						0.00407																																																																																																																																																																																																																																																																																																																																																																																																																									0.03297																																																				0.00326											
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. S6_Spd3																																																																																																																																																																																																																																																																																																																																										0.01243	0.26609																																																																																																																																																																																																																																																		0.43138																																																																																																																						0.14042																																																																																																																																																																																										0.02726																																																																																																																																																																																																																																																							
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 180																																																																																																																																																																																																																																																																																																																																																																																																																																																							0.01853																																																																																																																																																																																																																													0.00334																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 181																																																																																																																																																																																																																																																																																																																																											0.00316																												0.00414	0.12488	0.13839	0.14495					0.05963	0.05569	0.08825	0.04759																																											0.03281	0.01525																																																							0.00234																																																																																																																																																																																									0.01319												0.00027																																																																																																																																																																																																																																																				0.58557									0.00725																																																																						3.11380																																																																								0.55494																																																				0.30339											
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces turicensis																																									1.88270	2.41041	1.61139	2.57937	1.70669	0.82735	0.43363	1.59174	0.53443																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				0.00944	0.18865																																		0.13809																																																																																																					0.04612									0.03118																																																																																																																																																																																																																																																																																																																																																																																																																																														
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces urogenitalis																																																																			0.09543	0.31284	0.36269	0.77605	3.11952	0.70057	8.48611	1.42170	16.52334	4.94196	0.28143	0.14673				0.00112																																																																																																																																																																											0.32004																																																4.36414	0.15897																												0.05284	0.07879	0.03861																																														0.31074	0.27114	1.33869	1.85677																																					0.00333	0.00062	2.09335	0.00282	0.00442																					0.00202	0.01650			0.00709			0.01932																										0.00435						0.00433						0.00378	0.00275	0.00292	0.50167	57.46148	41.02421	60.27077	0.03797	0.00953	0.00537	0.00029	0.00060	0.00101	0.00251	0.00432	0.00441																																												0.00943	0.00680	0.00516	0.00339	0.07358	0.01214	9.16422	19.27705	0.99322	35.89787	30.97606	72.70870	0.00784	0.00432	0.00960													0.34074																								0.00021				0.00044			0.01445		0.56154	1.26430	0.06623		33.31400						1.94430									0.00284															0.00866						0.00071									0.92392	0.00265				0.00343	0.00548						0.00184	0.00086	0.00330	31.52950	0.00425	0.00124												0.00989	9.69403	38.19150	0.00688				0.08060						0.00276	0.00022	0.00487	0.61963	0.91376	0.30477			0.00042																																																																																													0.24203					0.00116	0.02782																																																																																																																																																																																																																																																																																																																															
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella bernardiae																																																																																																																																																																																																																																																																																																																																																																																																																																																																											0.00164																																																																																																																																																																																																													0.00057																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum cambriense																			0.31491	0.37404	0.25157	0.01082	0.03349																		1.23531	1.38032	0.81049	1.04769	0.67076	0.28110	0.00740																																					0.01392	0.00093	0.00466	0.01344																																																																																																																																																																												0.05382	0.03986	0.01195	0.05505	0.20572	0.10867						1.12279	0.50752		0.00545								0.05482	0.05886	0.24714	0.21612	0.04267	0.00759					0.00419	0.00505																								0.27054														1.44464	0.85855	1.70470	0.01976																																		0.13816	0.02080	0.02621														0.22398																																					0.00781											0.06131				0.55090						0.00014																		0.01417																															0.01231																																														0.10527													0.02261	0.03107																																		0.01030						0.00380									0.19350		0.24465	0.09347	0.05262							0.00099																															0.67528					0.00179										0.00347		0.01544	0.11989	0.00003				0.00478						0.00321											0.03042	0.00040	0.00053		0.01342									0.00232		0.00114		0.18809	0.08814	0.00003	0.00089																									0.00626																																																					0.13836	0.12335	0.12437	7.64140	8.79494	3.73633																			0.00653	0.00241																																																																									0.03107		0.24234			0.11399																																																																																																																														0.26199													0.08442																													0.05562																	0.01082									0.00978	0.05553		0.00174																	1.86303																	0.48004											
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia;Aeriscardovia aeriphila																																																																																																																																																																																																																																																																																			0.00546	0.00097																																																																								0.00219		0.00314																																																																						0.00105																																																																																																																																																																																									0.00064																																																			0.00041																																												0.00041	0.00030																																																																																																		0.00478	0.00300				0.00284	0.00084																																																																																																																																																																																																																																																																																																																															
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia omnicolens																																																																																																																																																																																																																																																																																																																																																																																																																																		0.00801																						0.00206	0.10057		0.10585	0.73210				1.00126	0.05730	0.07611	7.82684	0.02565	0.08604																																																																																																																																																																																																											0.00192				0.02494	0.04382	1.92405																																																																																																																																																																																																																																																								0.13188					0.29904																																																																																																																																																																																																																	
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.01689																																																																																																								
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						2.17282	1.43957																																																																																																																																																													0.94507																																																																																																																																																																																																																																																																																																																																																																																																																																																																
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum																																																																																																										0.03688	0.25244	3.54159	6.70309	1.24043	0.05181																																																																																																																																																								0.01370					43.65154	9.39191	1.05979	0.80024	3.17746	22.86966	15.85987	38.73861	26.77734	19.82884	25.33995	0.47875		0.00640																																0.01616									0.00051																		0.00724									0.00798				0.60962											0.00186														28.40883	25.43493	27.27578	39.87933	43.40638	32.35037	0.11011	0.00083										0.00137					0.00451																																																																																																																																																																																						0.24453	2.22361	2.50259																																																																																																														0.89006																																																																																																																																																																																																																																																																																																																						28.87432										30.90793	71.09011																												0.00144																																																																																	
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve																																																																																																																																																																																1.30767																																																																																																0.17983	2.21488	1.68487	3.07617	2.45680	3.92758	3.74260	0.54419																																					11.10651	2.12313	11.85934	4.17472	5.82918	3.24519	4.29093	5.26233	7.41916	27.22740	8.00966																						38.46771	26.08950	31.12326	3.86112	29.31360	15.86031	5.24843	0.10711																																							0.00728																									16.46001	57.37502			0.00569	0.01731	0.00142	0.00169	0.00693			0.00584	0.00261	0.00663	0.00366	0.00726	0.00779																																																																					18.91945	1.91309																											0.26353	0.00042							11.68330	2.12332	5.93245	0.00123		0.00856		0.11202			0.24872					0.01181																											0.24300	1.90484	0.65806															7.20700	0.00582	0.00460	4.44127	5.72672	12.41144	38.74266	0.74650	12.94226	26.71687	19.08454	4.25525	0.04136	0.52909							0.94653	4.52383			0.01041																		0.79204	0.00418				8.33858		5.42808	27.25190							30.78071	0.00566	0.00700	0.00854												0.00012	0.00035	4.66418							0.02336	0.00294	1.86339	7.55664	0.00516	0.08566		0.00208							0.44183		0.00073	0.00087	2.03330	3.31815	19.76862	18.28868	0.00605	0.98773		0.00360				0.06103	0.08225			0.38864																																																																																						35.59796	30.12035	0.04469		21.79019	37.93667	45.54014																																																			2.43689								4.32834		0.46725											3.09300		44.34095	0.02539		26.88254			5.35881																																										50.87964	0.02806	75.65551	29.00405		35.16104		36.58995												6.96147		43.45514																		2.64669														64.75854				13.40499			3.00929	10.44411									23.14551	0.03651				11.89060		9.84554		8.82032	16.15472		48.88076		20.91250	3.66332	1.41091	6.18252	7.12939	10.38122	3.27491					13.95674	41.18378				0.02777															14.26326	11.20144									0.00480				12.50358	24.46914			4.15186				31.23819											0.00147	40.51825	31.11857		6.27508	25.44058	25.49247			0.10836	15.62161												0.00125											46.95949			0.23273				6.32207									
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium																																																																																																																																																																																																																																																																												1.31351	2.60354	1.00778	1.00330	0.22302	3.83499	0.22798	0.16533																																																																																																												0.45189																																			1.03218	0.01709																																																																																																																																																																																																																																													0.24406																																																																																																																																																																																																																															0.02807			0.19195																																																																																																																														0.87796																																										0.21456																																																																										
