Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,crcLODO_seed33_permuteTRUE,33,1,DCV-ridgeRegression,0.5938495575221239,50,107,NA,219
Permuted,crcLODO_seed33_permuteTRUE,33,1,DCV-ridgeEnsemble,0.5714823008849558,50,107,NA,219
Permuted,crcLODO_seed33_permuteTRUE,33,1,DCV-rfRFE,0.5782964601769911,35,49,NA,219
Permuted,crcLODO_seed33_permuteTRUE,33,2,DCV-ridgeRegression,0.4974971240245002,50,246,NA,247
Permuted,crcLODO_seed33_permuteTRUE,33,2,DCV-ridgeEnsemble,0.5101047787830737,50,246,NA,247
Permuted,crcLODO_seed33_permuteTRUE,33,2,DCV-rfRFE,0.5052493030293609,37,74,NA,247
