Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,crcLODO_seed191_permuteTRUE,191,1,DCV-ridgeRegression,0.5281618023553507,50,147,NA,233
Permuted,crcLODO_seed191_permuteTRUE,191,1,DCV-ridgeEnsemble,0.48330327923595806,50,147,NA,233
Permuted,crcLODO_seed191_permuteTRUE,191,1,DCV-rfRFE,0.5273102695963846,32,44,NA,233
Permuted,crcLODO_seed191_permuteTRUE,191,2,DCV-ridgeRegression,0.5580560991519895,50,175,NA,222
Permuted,crcLODO_seed191_permuteTRUE,191,2,DCV-ridgeEnsemble,0.4681132727063428,50,175,NA,222
Permuted,crcLODO_seed191_permuteTRUE,191,2,DCV-rfRFE,0.4776294079275546,44,93,NA,222
