Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,crcLODO_seed211_permuteTRUE,211,1,DCV-ridgeRegression,0.5270743588711301,50,159,NA,236
Permuted,crcLODO_seed211_permuteTRUE,211,1,DCV-ridgeEnsemble,0.4662598563319204,50,159,NA,236
Permuted,crcLODO_seed211_permuteTRUE,211,1,DCV-rfRFE,0.46838209497736855,28,48,NA,236
Permuted,crcLODO_seed211_permuteTRUE,211,2,DCV-ridgeRegression,0.5239323329966816,50,265,NA,226
Permuted,crcLODO_seed211_permuteTRUE,211,2,DCV-ridgeEnsemble,0.5360517962775935,50,265,NA,226
Permuted,crcLODO_seed211_permuteTRUE,211,2,DCV-rfRFE,0.5385406146299235,40,80,NA,226
