Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,1,SELBAL,0.8112,NA,24,1,190.703,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,1,CLR-LASSO,0.7664,NA,25,25,1.4209999999999923,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,1,Coda-LASSO,0.8048,NA,38,1,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,glmnet4,0.7784,0.784,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,glmnet4,0.7784,0.6336,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,pls2,0.7076,0.7952,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,pls2,0.7076,0.6176,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,ranger1,0.7313999999999999,0.808,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,ranger1,0.7313999999999999,0.8136,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,rangerE5,0.7502,0.8136,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,rangerE5,0.7502,0.8176,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,svmRadial3,0.7668,0.8016,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,svmRadial3,0.7668,0.7824,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.7448,0.8032,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.7448,0.7216,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.768,0.8032,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.768,0.76,38,38,149.35899999999998,171,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,SELBAL,0.862,NA,14,1,154.83500000000004,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,CLR-LASSO,0.8532,NA,28,28,0.3650000000000091,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,Coda-LASSO,0.836,NA,56,1,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,glmnet4,0.8532,0.8272,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,glmnet4,0.8532,0.7584,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,pls2,0.7676,0.7328,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,pls2,0.7676,0.7584,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,ranger1,0.8702,0.6776,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,ranger1,0.8702,0.6624,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,rangerE5,0.8078,0.7432,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,rangerE5,0.8078,0.6728,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,svmRadial3,0.8251999999999999,0.744,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,svmRadial3,0.8251999999999999,0.7216,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.8271999999999999,0.7504000000000001,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.8271999999999999,0.7264,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.8396,0.784,56,56,129.73599999999988,173,FALSE,5,0.9
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.8396,0.7232,56,56,129.73599999999988,173,FALSE,5,0.9
