Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Permuted,16S_meanShift6_permuteTRUE_seed1,1,1,CLR-LASSO,0.5,0,0,0.891,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,1,Coda-LASSO,0.6004,2,1,100.753,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.4576,24,37,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.5524,24,37,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-rfRFE,0.5516,16,20,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,CLR-LASSO,0.4932,11,11,0.39800000000002456,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,Coda-LASSO,0.588,2,1,62.798,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.7088,93,403,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.3084,93,403,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,1,2,DCV-rfRFE,0.3116,91,278,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,1,CLR-LASSO,0.5,0,0,0.7239999999999327,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,1,Coda-LASSO,0.5128,2,1,67.702,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.55,24,50,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.4496,24,50,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-rfRFE,0.4572,20,19,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,CLR-LASSO,0.5508,1,1,1.3289999999997235,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,Coda-LASSO,0.5792,2,1,60.73000000000002,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.6264,47,113,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.3912,47,113,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,2,2,DCV-rfRFE,0.39,31,34,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,1,CLR-LASSO,0.5,0,0,0.8899999999998727,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,1,Coda-LASSO,0.5599999999999999,2,1,61.81600000000026,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.664,70,378,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.6672,70,378,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-rfRFE,0.6692,66,231,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,CLR-LASSO,0.5,0,0,0.9169999999999163,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,Coda-LASSO,0.546,2,1,78.8760000000002,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.6056,93,401,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.422,93,401,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,3,2,DCV-rfRFE,0.4432,84,245,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,1,CLR-LASSO,0.5,0,0,1.4510000000000218,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,1,Coda-LASSO,0.5364,2,1,99.4380000000001,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.5844,70,176,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.5871999999999999,70,176,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,DCV-rfRFE,0.5816,50,67,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,CLR-LASSO,0.524,3,3,0.9669999999996435,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,Coda-LASSO,0.4684,2,1,39.53399999999965,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.5552,93,231,NA,124,TRUE,6
Permuted,16S_meanShift6_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.4644,93,231,NA,124,TRUE,6
