Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,1,SELBAL,0.892,NA,9,1,63.855,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,1,CLR-LASSO,0.8543999999999999,NA,22,22,0.3719999999999999,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,1,Coda-LASSO,0.6012,NA,31,1,522.173,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,1,ALR-GLMNET,0.868,NA,36,35,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,1,ALR-LASSO,0.8844,NA,20,19,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,glmnet4,0.842,0.8384,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,glmnet4,0.842,0.7024,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,pls2,0.838,0.8351999999999999,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,pls2,0.838,0.6799999999999999,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ranger1,0.767,0.7936,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ranger1,0.767,0.7064,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,rangerE5,0.7436,0.7616,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,rangerE5,0.7436,0.6936,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,svmRadial3,0.7168,0.7328,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,svmRadial3,0.7168,0.6304,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeRegression,0.7076,0.7536,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeRegression,0.7076,0.6528,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeEnsemble,0.7844,0.8048,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeEnsemble,0.7844,0.6896,31,31,5.92999999999995,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,SELBAL,0.8652,NA,15,1,83.99900000000002,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,CLR-LASSO,0.8508,NA,31,31,0.34699999999998,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,Coda-LASSO,0.5388000000000001,NA,31,1,316.98800000000006,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ALR-GLMNET,0.8508,NA,32,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ALR-LASSO,0.8608,NA,24,23,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,glmnet4,0.8131999999999999,0.7888000000000001,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,glmnet4,0.8131999999999999,0.728,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,pls2,0.7888,0.744,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,pls2,0.7888,0.7392,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ranger1,0.7428,0.6976,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,ranger1,0.7428,0.6936,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,rangerE5,0.7182,0.6688,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,rangerE5,0.7182,0.6816,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,svmRadial3,0.6968,0.672,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,svmRadial3,0.6968,0.6784,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeRegression,0.6996,0.6832,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeRegression,0.6996,0.6704,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeEnsemble,0.754,0.7152000000000001,31,31,6.489000000000033,118,FALSE,4,0.98
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity2,2,2,DCV-ridgeEnsemble,0.754,0.7088,31,31,6.489000000000033,118,FALSE,4,0.98
