Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,1,SELBAL,0.7252,NA,22,1,99.42699999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,1,CLR-LASSO,0.6452,NA,20,20,0.23199999999999932,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,1,Coda-LASSO,0.5952,NA,76,1,248.46200000000002,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,1,ALR-GLMNET,0.9872,NA,98,97,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,1,ALR-LASSO,0.9748,NA,48,47,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,glmnet4,0.9556,0.9488,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,glmnet4,0.9556,0.9359999999999999,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,pls2,0.9532,0.9504,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,pls2,0.9532,0.9472,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ranger1,0.9117999999999999,0.9048,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ranger1,0.9117999999999999,0.9216,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,rangerE5,0.8936,0.8864,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,rangerE5,0.8936,0.9296,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,svmRadial3,0.9428,0.9104,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,svmRadial3,0.9428,0.9584,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeRegression,0.956,0.9392,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeRegression,0.956,0.9583999999999999,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeEnsemble,0.9531999999999999,0.9408,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeEnsemble,0.9531999999999999,0.952,76,76,6.209000000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,SELBAL,0.73,NA,12,1,71.04700000000003,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,CLR-LASSO,0.7343999999999999,NA,39,39,0.3449999999997999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,Coda-LASSO,0.5844,NA,31,1,324.10799999999995,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ALR-GLMNET,0.986,NA,95,94,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ALR-LASSO,0.9464,NA,47,46,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,glmnet4,0.956,0.9328,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,glmnet4,0.956,0.9024,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,pls2,0.9308,0.9471999999999999,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,pls2,0.9308,0.944,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ranger1,0.9038,0.9208,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,ranger1,0.9038,0.92,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,rangerE5,0.8897999999999999,0.9088,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,rangerE5,0.8897999999999999,0.9248,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,svmRadial3,0.9179999999999999,0.9344,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,svmRadial3,0.9179999999999999,0.944,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeRegression,0.94,0.9471999999999999,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeRegression,0.94,0.9359999999999999,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeEnsemble,0.9352,0.9264,31,31,6.1099999999999,118,FALSE,4,0.5
Empirical,16S_meanShift4_permuteFALSE_seed2_sparsity50,2,2,DCV-ridgeEnsemble,0.9352,0.9328,31,31,6.1099999999999,118,FALSE,4,0.5
