Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,1,SELBAL,0.8181999999999999,NA,10,1,55.10300000000001,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,1,CLR-LASSO,0.826,NA,17,17,0.3289999999999935,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,1,Coda-LASSO,0.5464,NA,17,1,211.622,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,1,ALR-GLMNET,0.9343999999999999,NA,57,56,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,1,ALR-LASSO,0.7892,NA,12,11,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,glmnet4,0.8992,0.76,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,glmnet4,0.8992,0.7408,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,pls2,0.8684,0.7152000000000001,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,pls2,0.8684,0.768,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ranger1,0.8178,0.6384,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ranger1,0.8178,0.8432,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,rangerE5,0.7968,0.6896,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,rangerE5,0.7968,0.7888,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,svmRadial3,0.8456,0.6832,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,svmRadial3,0.8456,0.8016,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeRegression,0.8543999999999999,0.6976,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeRegression,0.8543999999999999,0.7728,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeEnsemble,0.872,0.7168,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeEnsemble,0.872,0.7936,17,17,4.397999999999968,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,SELBAL,0.8256,NA,9,1,44.770000000000095,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,CLR-LASSO,0.7772,NA,42,42,0.22700000000008913,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,Coda-LASSO,0.4744,NA,12,1,202.37400000000014,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ALR-GLMNET,0.902,NA,30,29,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ALR-LASSO,0.9067999999999999,NA,32,31,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,glmnet4,0.8548,0.9007999999999999,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,glmnet4,0.8548,0.848,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,pls2,0.89,0.8704,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,pls2,0.89,0.8528,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ranger1,0.8503999999999999,0.7456,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,ranger1,0.8503999999999999,0.7704,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,rangerE5,0.8552,0.7696000000000001,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,rangerE5,0.8552,0.76,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,svmRadial3,0.8832,0.7936,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,svmRadial3,0.8832,0.776,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeRegression,0.8744,0.8032,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeRegression,0.8744,0.784,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeEnsemble,0.8852,0.8464,12,12,5.355000000000018,119,FALSE,3,0.95
Empirical,16S_meanShift3_permuteFALSE_seed4_sparsity5,4,2,DCV-ridgeEnsemble,0.8852,0.8144,12,12,5.355000000000018,119,FALSE,3,0.95
