Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,1,SELBAL,0.8348,NA,17,1,139.59300000000002,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,1,CLR-LASSO,0.7323999999999999,NA,19,19,0.33899999999999864,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,1,Coda-LASSO,0.8119999999999999,NA,45,1,162.12400000000002,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,1,ALR-GLMNET,0.8248,NA,94,93,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,1,ALR-LASSO,0.7979999999999999,NA,28,27,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,glmnet4,0.7764,0.7248,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,glmnet4,0.7764,0.6768,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,pls2,0.7128,0.6992,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,pls2,0.7128,0.5856,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,ranger1,0.742,0.7687999999999999,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,ranger1,0.742,0.78,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,rangerE5,0.7445999999999999,0.7696,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,rangerE5,0.7445999999999999,0.7816,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,svmRadial3,0.7692,0.7504,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,svmRadial3,0.7692,0.7264,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,DCV-ridgeRegression,0.7484,0.7312000000000001,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,DCV-ridgeRegression,0.7484,0.6592,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,DCV-ridgeEnsemble,0.7668,0.7568,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,DCV-ridgeEnsemble,0.7668,0.72,45,45,10.578999999999951,171,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,SELBAL,0.7847999999999999,NA,10,1,121.58199999999988,173,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,CLR-LASSO,0.8752,NA,35,35,0.3949999999999818,173,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,Coda-LASSO,0.8724,NA,58,1,133.08300000000008,173,FALSE,5,0.95
Empirical,WGS_meanShift5_permuteFALSE_seed2_sparsity5,2,2,ALR-GLMNET,0.8852,NA,46,45,10.692999999999984,173,FALSE,5,0.95
