Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,1,SELBAL,0.5648,NA,17,1,142.196,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,1,CLR-LASSO,0.5,NA,185,185,0.5029999999999859,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,1,Coda-LASSO,0.544,NA,128,1,396.687,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,1,ALR-GLMNET,0.3664,NA,12,11,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,1,ALR-LASSO,0.5,NA,1,0,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,glmnet4,0.6316,0.5584,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,glmnet4,0.6316,0.5088,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,pls2,0.6248,0.5648,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,pls2,0.6248,0.512,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ranger1,0.6054,0.5056,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ranger1,0.6054,0.5392,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,rangerE5,0.5756,0.4912,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,rangerE5,0.5756,0.524,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,svmRadial3,0.6268,0.5056,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,svmRadial3,0.6268,0.5024000000000001,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeRegression,0.5,0.5552,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeRegression,0.5,0.5184,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeEnsemble,0.3996,0.488,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeEnsemble,0.3996,0.5088,128,128,11.340000000000032,185,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,SELBAL,0.5324,NA,14,1,130.0139999999999,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,CLR-LASSO,0.5564,NA,6,6,0.15699999999992542,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,Coda-LASSO,0.4732,NA,55,1,145.18499999999995,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ALR-GLMNET,0.5496,NA,3,2,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ALR-LASSO,0.5552,NA,3,2,11.256000000000114,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,glmnet4,0.506,0.6128,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,glmnet4,0.506,0.5616,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,pls2,0.5367999999999999,0.5824,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,pls2,0.5367999999999999,0.5632,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ranger1,0.5506,0.5904,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,ranger1,0.5506,0.6208,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,rangerE5,0.5532,0.5912000000000001,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,rangerE5,0.5532,0.5871999999999999,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,svmRadial3,0.5372,0.584,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,svmRadial3,0.5372,0.5952000000000001,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeRegression,0.5347999999999999,0.6144000000000001,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeRegression,0.5347999999999999,0.5712,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeEnsemble,0.4648,0.5952,55,55,11.25500000000011,184,FALSE,3,0.95
Empirical,WGS_meanShift3_permuteFALSE_seed3_sparsity5,3,2,DCV-ridgeEnsemble,0.4648,0.5984,55,55,11.25500000000011,184,FALSE,3,0.95
