Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed19_permuteTRUE_fold1,19,1,meta_aloneRFE,0.4553977272727273,6,5,NA,23
Permuted,NEC_seed19_permuteTRUE_fold1,19,1,meta_dataGLM,0.5,0,16,NA,16
Permuted,NEC_seed19_permuteTRUE_fold1,19,1,DCV-ridgeRegression,0.5642045454545455,9,18,466.7299999999999,16
Permuted,NEC_seed19_permuteTRUE_fold1,19,1,DCV-ridgeEnsemble,0.5303977272727273,9,18,466.7299999999999,16
Permuted,NEC_seed19_permuteTRUE_fold1,19,1,mbiome + meta_dataGLM,0.5,0,18,NA,18
