Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,NEC_seed19_permuteFALSE_fold3,19,3,meta_aloneRFE,0.6179638284901443,7,6,NA,23
Empirical,NEC_seed19_permuteFALSE_fold3,19,3,meta_dataGLM,0.7033123348912823,16,16,NA,16
Empirical,NEC_seed19_permuteFALSE_fold3,19,3,DCV-ridgeRegression,0.5998780735622841,17,56,371.836,16
Empirical,NEC_seed19_permuteFALSE_fold3,19,3,DCV-ridgeEnsemble,0.5332249542775859,17,56,371.836,16
Empirical,NEC_seed19_permuteFALSE_fold3,19,3,mbiome + meta_dataGLM,0.4704328388538915,33,71,NA,71
