Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,1,SELBAL,0.5484,14,1,159.448,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,1,CLR-LASSO,0.5264,1,1,1.164999999999992,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,1,Coda-LASSO,0.572,2,1,144.77200000000002,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,DCV-ridgeRegression,0.5308,134,3560,1310.1109999999999,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,DCV-ridgeEnsemble,0.4652,134,3560,1310.1109999999999,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,SELBAL,0.552,16,1,159.19900000000007,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,CLR-LASSO,0.5,0,0,0.76299999999992,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,Coda-LASSO,0.5432,2,1,127.24099999999999,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,DCV-ridgeRegression,0.4796,34,267,987.1800000000001,179,TRUE,3,0.5
Permuted,WGS_meanShift3_permuteTRUE_seed4_sparsity50,4,2,DCV-ridgeEnsemble,0.4916,34,267,987.1800000000001,179,TRUE,3,0.5
