Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,1,SELBAL,0.6004,5,1,115.674,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,1,CLR-LASSO,0.5,0,0,0.9950000000000045,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,1,Coda-LASSO,0.4968,2,1,112.43800000000002,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,DCV-ridgeRegression,0.5392,36,293,967.0150000000001,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,DCV-ridgeEnsemble,0.5616,36,293,967.0150000000001,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,SELBAL,0.5272,10,1,127.30799999999999,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,CLR-LASSO,0.5,0,0,0.6899999999998272,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,Coda-LASSO,0.5112,2,1,118.20700000000011,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,DCV-ridgeRegression,0.5552,70,1085,988.3419999999999,185,TRUE,4,0.7
Permuted,WGS_meanShift4_permuteTRUE_seed3_sparsity30,3,2,DCV-ridgeEnsemble,0.442,70,1085,988.3419999999999,185,TRUE,4,0.7
